Player,Market Value,Club
Ben Davies,10,Tottenham Hotspur
Mario Lemina,10,Wolverhampton Wanderers
Kieran Trippier,10,Newcastle United
Sam Johnstone,10,Crystal Palace
Fabian Schär,10,Newcastle United
Issa Kaboré,10,Manchester City
Matt Targett,10,Newcastle United
Lorenz Assignon,10,Burnley FC
Alphonse Areola,10,West Ham United
Joël Veltman,10,Brighton & Hove Albion
Ben Godfrey,10,Everton FC
Sergio Gómez,10,Manchester City
Ben Doak,10,Liverpool FC
Anthony Martial,10,Manchester United
Thiago,10,Liverpool FC
Altay Bayındır,10,Manchester United
André Gomes,10,Everton FC
Cesare Casadei,10,Chelsea FC
Gonzalo Montiel,10,Nottingham Forest
Maxwel Cornet,9,West Ham United
Chermiti,9,Everton FC
Adama Traoré,9,Fulham FC
Stefan Ortega,9,Manchester City
Deivid Washington,9,Chelsea FC
Will Hughes,9,Crystal Palace
Frank Onyeka,9,Brentford FC
Ben Johnson,8,West Ham United
Dan Burn,8,Newcastle United
Jacob Bruun Larsen,8,Burnley FC
Pascal Groß,8,Brighton & Hove Albion
Chiedozie Ogbene,8,Luton Town
Naouirou Ahamada,8,Crystal Palace
Santiago Bueno,8,Wolverhampton Wanderers
Christian Eriksen,8,Manchester United
Danny Ings,8,West Ham United
Vladimír Coufal,8,West Ham United
Ben Brereton Díaz,8,Sheffield United
Joel Matip,8,Liverpool FC
Ross Barkley,8,Luton Town
Odysseas Vlachodimos,7,Nottingham Forest
Matz Sels,7,Nottingham Forest
Hjalmar Ekdal,7,Burnley FC
Luca Koleosho,7,Burnley FC
Maxime Estève,7,Burnley FC
Auston Trusty,7,Sheffield United
Chris Wood,7,Nottingham Forest
Matt Turner,7,Nottingham Forest
Jeffrey Schlupp,7,Crystal Palace
Arijanet Muric,7,Burnley FC
Jamaal Lascelles,7,Newcastle United
Dara O'Shea,7,Burnley FC
Tahith Chong,6,Luton Town
Chris Mepham,6,AFC Bournemouth
Boubacar Traoré,6,Wolverhampton Wanderers
Hugo Bueno,6,Wolverhampton Wanderers
Michael Keane,6,Everton FC
Marvelous Nakamba,5,Luton Town
Dele Alli,5,Everton FC
Rob Holding,5,Crystal Palace
Raúl Jiménez,5,Fulham FC
Willy Kambwala,5,Manchester United
Bobby De Cordova-Reid,5,Fulham FC
Tom Davies,5,Sheffield United
Mason Holgate,5,Everton FC
Harry Toffolo,5,Nottingham Forest
Nathan Redmond,5,Burnley FC
Benson Manuel,5,Burnley FC
Danny Welbeck,5,Brighton & Hove Albion
Divock Origi,5,Nottingham Forest
Vitinho,5,Burnley FC
Oli McBurnie,4.5,Sheffield United
Michail Antonio,4,West Ham United
Jacob Brown,4,Luton Town
Hannes Delcroix,4,Burnley FC
Calum Chambers,4,Aston Villa
Jordan Ayew,4,Crystal Palace
Han-Noah Massengo,4,Burnley FC
Tim Iroegbunam,4,Aston Villa
John Egan,4,Sheffield United
Malang Sarr,4,Chelsea FC
Jayden Bogle,3.8,Sheffield United
Yunus Emre Konak,3.5,Brentford FC
Ivo Grbic,3.5,Sheffield United
Jason Steele,3.5,Brighton & Hove Albion
Mark Travers,3.5,AFC Bournemouth
Mohamed Elneny,3.5,Arsenal FC
Fodé Ballo-Touré,3,Fulham FC
Idrissa Gueye,3,Everton FC
Diego Moreira,3,Chelsea FC
Thomas Strakosha,3,Brentford FC
Charlie Taylor,3,Burnley FC
Marek Rodak,3,Fulham FC
Mads Andersen,3,Luton Town
Yasser Larouci,3,Sheffield United
Matt Doherty,3,Wolverhampton Wanderers
Willian,3,Fulham FC
Jairo Riedewald,3,Crystal Palace
Thomas Kaminski,3,Luton Town
Andrei Radu,3,AFC Bournemouth
Gabriel Osho,3,Luton Town
Rhian Brewster,3,Sheffield United
William Osula,3,Sheffield United
Rodrigo Ribeiro,3,Nottingham Forest
Neto,2.5,AFC Bournemouth
Tom Lockyer,2.5,Luton Town
Amari'i Bell,2.5,Luton Town
George Baldock,2.5,Sheffield United
Rhys Norrington-Davies,2.5,Sheffield United
Andre Brooks,2.5,Sheffield United
Willy Boly,2.5,Nottingham Forest
Lewis Dobbin,2.5,Everton FC
Shandon Baptiste,2.5,Brentford FC
Max Lowe,2.5,Sheffield United
Anis Slimane,2.5,Sheffield United
Emil Krafth,2.5,Newcastle United
Hákon Rafn Valdimarsson,2.5,Brentford FC
Kaine Kesler-Hayden,2.2,Aston Villa
Karl Hein,2,Arsenal FC
Daiki Hashioka,2,Luton Town
James Hill,2,AFC Bournemouth
Craig Dawson,2,Wolverhampton Wanderers
Jonny Evans,2,Manchester United
Kortney Hause,2,Aston Villa
Daniel Bentley,2,Wolverhampton Wanderers
Jesurun Rak-Sakyi,2,Crystal Palace
Saman Ghoddos,2,Brentford FC
Tom Cairney,2,Fulham FC
Cédric Soares,2,Arsenal FC
Andros Townsend,1.8,Luton Town
Reece Burke,1.8,Luton Town
Rhys Williams,1.8,Liverpool FC
Robin Olsen,1.5,Aston Villa
Nathaniel Clyne,1.5,Crystal Palace
Joe Gauci,1.5,Aston Villa
Felipe,1.5,Nottingham Forest
Pelly Ruddock Mpanzu,1.5,Luton Town
Fraser Forster,1.2,Tottenham Hotspur
Adam Lallana,1,Brighton & Hove Albion
Daniel Jebbison,1,Sheffield United
Zanka,1,Brentford FC
Matt Ritchie,1,Newcastle United
Jóhann Berg Gudmundsson,1,Burnley FC
Joel Ward,1,Crystal Palace
Cauley Woodrow,1,Luton Town
Steven Benda,1,Fulham FC
Ben Mee,1,Brentford FC
Loris Karius,1,Newcastle United
Jay Rodríguez,1,Burnley FC
Jordan Clark,1,Luton Town
Martin Dubravka,1,Newcastle United
Bobby Clark,1,Liverpool FC
Adam Smith,1,AFC Bournemouth
Nathan Fraser,1,Wolverhampton Wanderers
Ryan Fredericks,1,AFC Bournemouth
Jack Robinson,1,Sheffield United
James Milner,1,Brighton & Hove Albion
Ben Osborn,1,Sheffield United
Joe Whitworth,1,Crystal Palace
Thiago Silva,1,Chelsea FC
Marcus Bettinelli,1,Chelsea FC
Cheikhou Kouyaté,1,Nottingham Forest
Divin Mubama,1,West Ham United
Oliver Norwood,1,Sheffield United
Nathan Ferguson,1,Crystal Palace
Dan Potts,0.9,Luton Town
Wes Foderingham,0.9,Sheffield United
Paul Dummett,0.9,Newcastle United
Aaron Cresswell,0.9,West Ham United
Jack Cork,0.8,Burnley FC
Tim Ream,0.8,Fulham FC
João Virgínia,0.8,Everton FC
James Tomkins,0.7,Crystal Palace
Lukasz Fabianski,0.7,West Ham United
Angelo Ogbonna,0.7,West Ham United
Brandon Austin,0.6,Tottenham Hotspur
Adrián,0.6,Liverpool FC
Tom McGill,0.6,Brighton & Hove Albion
Fred Onyedinma,0.5,Luton Town
Ashley Young,0.5,Everton FC
Seamus Coleman,0.5,Everton FC
Remi Matthews,0.5,Crystal Palace
Alfie Whiteman,0.5,Tottenham Hotspur
Tim Krul,0.5,Luton Town
Noha Lemina,0.5,Wolverhampton Wanderers
Adam Davies,0.5,Sheffield United
Oliver Arblaster,0.45,Sheffield United
Luke Berry,0.4,Luton Town
Harry Arter,0.4,Nottingham Forest
Jack Walton,0.4,Luton Town
Chris Basham,0.3,Sheffield United
Lawrence Vigouroux,0.3,Burnley FC
Mark Gillespie,0.3,Newcastle United
Darren Randolph,0.3,AFC Bournemouth
Joseph Anang,0.3,West Ham United
Ellery Balcombe,0.3,Brentford FC
Ryan Trevitt,0.275,Brentford FC
Wayne Hennessey,0.25,Nottingham Forest
Jordan Amissah,0.25,Sheffield United
Tom Heaton,0.25,Manchester United
James Shea,0.2,Luton Town
Elliot Thorpe,0.2,Luton Town
Scott Carson,0.2,Manchester City
Tom King,0.2,Wolverhampton Wanderers
Andy Lonergan,0.1,Everton FC
Taylor Harwood-Bellis,22,Manchester City
Fábio Carvalho,14,Liverpool FC
Flynn Downes,9,West Ham United
Anass Zaroury,9,Burnley FC
David Brooks,8,AFC Bournemouth
Joe Rodon,8,Tottenham Hotspur
Connor Roberts,7,Burnley FC
Jaidon Anthony,6,AFC Bournemouth
Lewis O'Brien,5,Nottingham Forest
Ki-Jana Hoever,4.5,Wolverhampton Wanderers
Jeremy Sarmiento,4.5,Brighton & Hove Albion
Yasin Ayari,4.5,Brighton & Hove Albion
Ryan Giles,4.5,Luton Town
Emmanuel Dennis,4.2,Nottingham Forest
